Inflections: 3180 forms
Lemma	Form	Analysis (UniMorph)
girtin	na-tan-gir-im	V;PRS;IND;NEG;ArgNO1S;ArgAC2P
girtin	na-yan-gir-im	V;PRS;IND;NEG;ArgNO1S;ArgAC3P
girtin	na-ş-gir-im	V;PRS;IND;NEG;ArgNO1S;[ÎŞ]
girtin	na-ş-it-gir-im	V;PRS;IND;NEG;ArgNO1S;[ÎŞ];ArgAC2S
girtin	na-ş-î-gir-im	V;PRS;IND;NEG;ArgNO1S;[ÎŞ];ArgAC3S
girtin	na-ş-tan-gir-im	V;PRS;IND;NEG;ArgNO1S;[ÎŞ];ArgAC2P
girtin	na-ş-yan-gir-im	V;PRS;IND;NEG;ArgNO1S;[ÎŞ];ArgAC3P
girtin	na-m-gir-ît	V;PRS;IND;NEG;ArgNO2S;ArgAC1S
girtin	na-y-gir-ît	V;PRS;IND;NEG;ArgNO2S;ArgAC3S
girtin	na-man-gir-ît	V;PRS;IND;NEG;ArgNO2S;ArgAC1P
girtin	na-yan-gir-ît	V;PRS;IND;NEG;ArgNO2S;ArgAC3P
girtin	na-ş-gir-ît	V;PRS;IND;NEG;ArgNO2S;[ÎŞ]
girtin	na-ş-im-gir-ît	V;PRS;IND;NEG;ArgNO2S;[ÎŞ];ArgAC1S
girtin	na-ş-î-gir-ît	V;PRS;IND;NEG;ArgNO2S;[ÎŞ];ArgAC3S
girtin	na-ş-man-gir-ît	V;PRS;IND;NEG;ArgNO2S;[ÎŞ];ArgAC1P
girtin	na-ş-yan-gir-ît	V;PRS;IND;NEG;ArgNO2S;[ÎŞ];ArgAC3P
girtin	na-m-gir-êt	V;PRS;IND;NEG;ArgNO3S;ArgAC1S
girtin	na-t-gir-êt	V;PRS;IND;NEG;ArgNO3S;ArgAC2S
girtin	na-y-gir-êt	V;PRS;IND;NEG;ArgNO3S;ArgAC3S
girtin	na-man-gir-êt	V;PRS;IND;NEG;ArgNO3S;ArgAC1P
girtin	na-tan-gir-êt	V;PRS;IND;NEG;ArgNO3S;ArgAC2P
girtin	na-yan-gir-êt	V;PRS;IND;NEG;ArgNO3S;ArgAC3P
girtin	na-ş-gir-êt	V;PRS;IND;NEG;ArgNO3S;[ÎŞ]
girtin	na-ş-im-gir-êt	V;PRS;IND;NEG;ArgNO3S;[ÎŞ];ArgAC1S
girtin	na-ş-it-gir-êt	V;PRS;IND;NEG;ArgNO3S;[ÎŞ];ArgAC2S
girtin	na-ş-î-gir-êt	V;PRS;IND;NEG;ArgNO3S;[ÎŞ];ArgAC3S
girtin	na-ş-man-gir-êt	V;PRS;IND;NEG;ArgNO3S;[ÎŞ];ArgAC1P
girtin	na-ş-tan-gir-êt	V;PRS;IND;NEG;ArgNO3S;[ÎŞ];ArgAC2P
girtin	na-ş-yan-gir-êt	V;PRS;IND;NEG;ArgNO3S;[ÎŞ];ArgAC3P
girtin	na-t-gir-în	V;PRS;IND;NEG;ArgNO1P;ArgAC2S
girtin	na-y-gir-în	V;PRS;IND;NEG;ArgNO1P;ArgAC3S
girtin	na-tan-gir-în	V;PRS;IND;NEG;ArgNO1P;ArgAC2P
girtin	na-yan-gir-în	V;PRS;IND;NEG;ArgNO1P;ArgAC3P
girtin	na-ş-gir-în	V;PRS;IND;NEG;ArgNO1P;[ÎŞ]
girtin	na-ş-it-gir-în	V;PRS;IND;NEG;ArgNO1P;[ÎŞ];ArgAC2S
girtin	na-ş-î-gir-în	V;PRS;IND;NEG;ArgNO1P;[ÎŞ];ArgAC3S
girtin	na-ş-tan-gir-în	V;PRS;IND;NEG;ArgNO1P;[ÎŞ];ArgAC2P
girtin	na-ş-yan-gir-în	V;PRS;IND;NEG;ArgNO1P;[ÎŞ];ArgAC3P
girtin	na-m-gir-in	V;PRS;IND;NEG;ArgNO2P;ArgAC1S
girtin	na-y-gir-in	V;PRS;IND;NEG;ArgNO2P;ArgAC3S
girtin	na-man-gir-in	V;PRS;IND;NEG;ArgNO2P;ArgAC1P
girtin	na-yan-gir-in	V;PRS;IND;NEG;ArgNO2P;ArgAC3P
girtin	na-ş-gir-in	V;PRS;IND;NEG;ArgNO2P;[ÎŞ]
